Item,Value,Tag1,Tag2,Tag3,Tag4,Tag5,
Giglio di calla,1,AvatarExp,SkillBook,None,None,None,
Semi di dente di leone,1,AvatarExp,SkillBook,None,None,None,
Peperoncino di Jueyun,1,AvatarExp,SkillBook,None,None,None,
Giada nottilucosa,1,WeaponExp,AvatarPromote,None,None,None,
Fiordiseta,1,AvatarExp,SkillBook,None,None,None,
Splendigiglio,1,AvatarExp,SkillBook,None,None,None,
Qingxin,1,AvatarExp,SkillBook,None,None,None,
Conchistella,1,Scoin,WeaponPromote,None,None,None,
Campaviola,1,AvatarExp,SkillBook,None,None,None,
Cor Lapis,1,WeaponExp,AvatarPromote,None,None,None,
Pezzo di ferro,1,WeaponExp,AvatarPromote,None,None,None,
Pezzo di ferro bianco,1,WeaponExp,AvatarPromote,None,None,None,
Pezzo di cristallo,1,WeaponExp,AvatarPromote,None,None,None,
Pezzo di cristallo magico,1,WeaponExp,AvatarPromote,None,None,None,
Argento astrale,1,WeaponExp,AvatarPromote,None,None,None,
Pezzo d'ametista,1,WeaponExp,AvatarPromote,None,None,None,
Onikabuto,1,Scoin,WeaponPromote,None,None,None,
Fiore di sakura,1,AvatarExp,SkillBook,None,None,None,
Midollo cristallino,1,WeaponExp,AvatarPromote,None,None,None,
Dendrobium,1,AvatarExp,SkillBook,None,None,None,
Erba del pianto,1,AvatarExp,SkillBook,None,None,None,
Ganoderma marino,1,AvatarExp,SkillBook,None,None,None,
Perla di corallo,1,WeaponExp,AvatarPromote,None,None,None,
Frutto Amakumo,1,AvatarExp,SkillBook,None,None,None,
Fungo fluorescente,1,AvatarExp,SkillBook,None,None,None,
Alga,1,AvatarExp,SkillBook,None,None,None,
Melonlavanda,1,AvatarExp,SkillBook,None,None,None,
Astrofungo,1,AvatarExp,SkillBook,None,None,None,
Funghi di Rukkhashava,1,AvatarExp,SkillBook,None,None,None,
Padisarah,1,AvatarExp,SkillBook,None,None,None,
Loto Nilotpala,1,AvatarExp,SkillBook,None,None,None,
Frutto di Harra,1,AvatarExp,SkillBook,None,None,None,
Loto Kalpalata,1,AvatarExp,SkillBook,None,None,None,
Pesca di Zaytun,1,AvatarExp,SkillBook,None,None,None,
Rosa di Sumeru,1,AvatarExp,SkillBook,None,None,None,
Bacca henné,1,AvatarExp,SkillBook,None,None,None,
Noce di Ajilenakh,1,AvatarExp,SkillBook,None,None,None,
Scarabeo,1,Scoin,WeaponPromote,None,None,None,
Astrofungo (Attivazione),1,AvatarExp,SkillBook,None,None,None,
Astrofungo (Scottatura),1,AvatarExp,SkillBook,None,None,None,
Viparya,1,AvatarExp,SkillBook,None,None,None,
Bava di Melmoso,1,Scoin,WeaponPromote,None,None,None,
Secrezioni di Melmoso,2,Scoin,WeaponPromote,None,None,None,
Concentrato di Melmoso,4,Scoin,WeaponPromote,None,None,None,
Maschera danneggiata,1,Scoin,WeaponPromote,None,None,None,
Maschera sporca,2,Scoin,WeaponPromote,None,None,None,
Maschera nefasta,4,Scoin,WeaponPromote,None,None,None,
Pergamena divinatoria,1,AvatarExp,SkillBook,None,None,None,
Pergamena sigillata,2,AvatarExp,SkillBook,None,None,None,
Pergamena maledetta,4,AvatarExp,SkillBook,None,None,None,
Punta di freccia robusta,1,WeaponExp,AvatarPromote,None,None,None,
Punta di freccia affilata,2,WeaponExp,AvatarPromote,None,None,None,
Punta di freccia consumata,4,WeaponExp,AvatarPromote,None,None,None,
Corno pesante,1,Scoin,WeaponPromote,None,None,None,
Corno di bronzo nero,2,Scoin,WeaponPromote,None,None,None,
Corno con cristallo nero,4,Scoin,WeaponPromote,None,None,None,
Ramo geomantico secco,1,AvatarExp,SkillBook,None,None,None,
Foglie geomantiche secche,2,AvatarExp,SkillBook,None,None,None,
Germoglio geomantico,4,AvatarExp,SkillBook,None,None,None,
Dispositivo del caos,1,Scoin,WeaponPromote,None,None,None,
Circuito del caos,2,Scoin,WeaponPromote,None,None,None,
Nucleo del caos,4,Scoin,WeaponPromote,None,None,None,
Polline d'Erbafosca,1,AvatarExp,SkillBook,None,None,None,
Erbafosca,2,AvatarExp,SkillBook,None,None,None,
Ciuffi d'Erbafosca,4,AvatarExp,SkillBook,None,None,None,
Coltello sacrificale del cacciatore,1,WeaponExp,AvatarPromote,None,None,None,
Coltello sacrificale dell'usuraio,2,WeaponExp,AvatarPromote,None,None,None,
Coltello sacrificale dell'ispettore,4,WeaponExp,AvatarPromote,None,None,None,
Emblema della recluta,1,Scoin,WeaponPromote,None,None,None,
Emblema del sergente,2,Scoin,WeaponPromote,None,None,None,
Emblema del tenente,4,Scoin,WeaponPromote,None,None,None,
Emblema del Cacciatore di tesori,1,Scoin,WeaponPromote,None,None,None,
Emblema del corvo argentato,2,Scoin,WeaponPromote,None,None,None,
Emblema del corvo dorato,4,Scoin,WeaponPromote,None,None,None,
Nettare del Malefiore,1,AvatarExp,SkillBook,None,None,None,
Nettare brillante,2,AvatarExp,SkillBook,None,None,None,
Nettare energetico,4,AvatarExp,SkillBook,None,None,None,
Frammento d'osso fragile,1,Scoin,WeaponPromote,None,None,None,
Frammento d'osso solido,2,Scoin,WeaponPromote,None,None,None,
Frammento d'osso fossilizzato,4,Scoin,WeaponPromote,None,None,None,
Paramano antico,1,Scoin,WeaponPromote,None,None,None,
Paramano kageuchi,2,Scoin,WeaponPromote,None,None,None,
Paramano celebre,4,Scoin,WeaponPromote,None,None,None,
Ingranaggio del caos,1,Scoin,WeaponPromote,None,None,None,
Asse del caos,2,Scoin,WeaponPromote,None,None,None,
Oculus del caos,4,Scoin,WeaponPromote,None,None,None,
Prisma tetro,1,Scoin,WeaponPromote,None,None,None,
Prisma di cristallo,2,Scoin,WeaponPromote,None,None,None,
Prisma polarizzante,4,Scoin,WeaponPromote,None,None,None,
Guscio spettrale,1,Scoin,WeaponPromote,None,None,None,
Cuore spettrale,2,Scoin,WeaponPromote,None,None,None,
Nucleo spettrale,4,Scoin,WeaponPromote,None,None,None,
Artiglio nascosto,1,Scoin,WeaponPromote,None,None,None,
Artiglio affilato nascosto,2,Scoin,WeaponPromote,None,None,None,
Artiglio di bestia nascosto,4,Scoin,WeaponPromote,None,None,None,
Spore fungine,1,AvatarExp,SkillBook,None,None,None,
Polline luminescente,2,AvatarExp,SkillBook,None,None,None,
Polvere di ciste cristallina,4,AvatarExp,SkillBook,None,None,None,
Nucleo di Miconoide inattivo,1,AvatarExp,SkillBook,None,None,None,
Nucleo di Miconoide dormiente,2,AvatarExp,SkillBook,None,None,None,
Nucleo di Miconoide vigoroso,4,AvatarExp,SkillBook,None,None,None,
Seta rossa sbiadita,1,Scoin,WeaponPromote,None,None,None,
Seta rossa ritagliata,2,Scoin,WeaponPromote,None,None,None,
Broccato rosso sontuoso,4,Scoin,WeaponPromote,None,None,None,
Riserva del caos,1,Scoin,WeaponPromote,None,None,None,
Modulo del caos,2,Scoin,WeaponPromote,None,None,None,
Bullone del caos,4,Scoin,WeaponPromote,None,None,None,
Prisma danneggiato,1,Scoin,WeaponPromote,None,None,None,
Prisma torbido,2,Scoin,WeaponPromote,None,None,None,
Prisma splendente,4,Scoin,WeaponPromote,None,None,None,
Statuetta misteriosa,1,Scoin,WeaponPromote,None,None,None,
Statuetta oscura,2,Scoin,WeaponPromote,None,None,None,
Statuetta malefica,4,Scoin,WeaponPromote,None,None,None,
